[44] baichuan-inc/Baichuan-7B (API miss; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[47] baichuan-inc/Baichuan-M1-14B-Base (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[48] baichuan-inc/Baichuan-M1-14B-Instruct (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[57] baichuan-inc/Baichuan2-7B-Chat (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[157] deepseek-ai/DeepSeek-V3 (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[159] deepseek-ai/DeepSeek-V3-Base (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[172] deepseek-ai/ESFT-gate-code-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[173] deepseek-ai/ESFT-gate-intent-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[174] deepseek-ai/ESFT-gate-law-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[175] deepseek-ai/ESFT-gate-math-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[176] deepseek-ai/ESFT-gate-summary-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[177] deepseek-ai/ESFT-gate-translation-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[178] deepseek-ai/ESFT-token-code-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[179] deepseek-ai/ESFT-token-intent-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[180] deepseek-ai/ESFT-token-law-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[181] deepseek-ai/ESFT-token-math-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[182] deepseek-ai/ESFT-token-summary-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[183] deepseek-ai/ESFT-token-translation-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[184] deepseek-ai/ESFT-vanilla-lite (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[193] EleutherAI/annealing_filtered_gdiff_v1_interleaved_1_in_41_pythia_lr_gclip-0.5 (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
[194] EleutherAI/annealing_filtered_gdiff_v1_interleaved_1_in_41_pythia_lr_gclip-1.0 (API miss; scrape miss: License tag not found; hydrate miss: script with cardData not found; readme 404; licensefile miss: no LICENSE blob)
